,user_id,product_id,event_type,event_timestamp
0,634HEZTVCB8KVEA6QG4D7AKRHN,313021000000.0,search_click,2022-11-10 00:00:00
1,6347SX8QVIYGS6KQM920LYA5PH,313022000000.0,referral_click,2022-11-10 00:03:35
2,633ZWLCP4DFQC0V8ZGZ5KNV0GA,528911000000.0,added_to_basket,2022-11-10 00:07:10
3,634PHK1EMAD21DR5CLINUV39XQ,528923000000.0,product_sold,2022-11-10 00:10:45
4,6349FL7J8ZW7T4VT92M4GPI4HF,737160000000.0,recommendation_click,2022-11-10 00:14:20
5,634MOHB6POJDYGA32B002HDQXJ,738327000000.0,search_click,2022-11-10 00:17:55
6,634A2PBCRLMNI7ZASNVXF52XDG,738331000000.0,referral_click,2022-11-10 00:21:30
7,633PI6TORNDWDCFCQ78KJGFAMB,742637000000.0,added_to_basket,2022-11-10 00:25:05
8,634SKTOE6922ADUBZDDJE1HCGS,744718000000.0,product_sold,2022-11-10 00:28:40
9,6344A8AAXDTCDJJ338V6I1MVEH,783345000000.0,recommendation_click,2022-11-10 00:32:15
10,634PU2354S5TO7IHL3T9XSUXV2,1494520000000.0,search_click,2022-11-10 00:35:50
11,634AHI7Q46S2L8TQSUNR9F5O2F,1497550000000.0,referral_click,2022-11-10 00:39:25
12,6347Z5EKDB9OH34565NGWWLXH2,1497560000000.0,added_to_basket,2022-11-10 00:43:00
13,6346CAABDWDP06CAQ0YF6XMYSB,1619070000000.0,product_sold,2022-11-10 00:46:35
14,6343VYSA4RIFXYMDW7WWVJC43F,1619080000000.0,recommendation_click,2022-11-10 00:50:10
15,6347N7TS8IMJWDVDP2EPNKZIUL,1621030000000.0,search_click,2022-11-10 00:53:45
16,6345WSDK7BYXPLBH6S2GGA95SG,1621040000000.0,referral_click,2022-11-10 00:57:20
17,634YJL7VROTYBSOH1ZNO1TKFLR,1621100000000.0,added_to_basket,2022-11-10 01:00:55
18,634IFN5GQ91G0112R3T0NRGD4I,1641540000000.0,product_sold,2022-11-10 01:04:30
19,634907NODFR1WIMG2KPNPDL6TK,1725680000000.0,recommendation_click,2022-11-10 01:08:05
20,634N1N9M3IU9ZHRQQHWZOZ2R07,1725810000000.0,search_click,2022-11-10 01:11:40
